config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,always_compile_evict,35862682.667,0.999213,5.333,8.0,175.333,34.667,0.0,161.333,127.333,0.012,126.333,1838023.667,always_compile_evict,1.0
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,ours_noinflate,35890935.0,1.0,5.333,8.333,174.667,34.333,0.0,160.333,127.0,0.012,126.0,1833174.0,always_compile_evict,1.0
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,oracle_tax,35975515.333,1.002357,10.333,12.333,163.333,33.667,0.0,158.667,120.333,0.015,119.333,1736180.667,always_compile_evict,1.0
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,ours_spend_cap,35885969.667,0.999862,5.333,8.333,174.333,34.0,0.0,160.0,127.0,0.012,126.0,1833174.0,always_compile_evict,1.0
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,ours_pi_prior,36015899.333,1.003482,5.333,8.333,172.0,33.667,0.0,156.333,125.667,0.011,124.667,1813775.333,always_compile_evict,1.0
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,ours_both,36010934.0,1.003343,5.333,8.333,171.667,33.333,0.0,156.0,125.667,0.011,124.667,1813775.333,always_compile_evict,1.0
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,offline_taxblind,28599163.064,0.796835,,,,,,,,,,,always_compile_evict,1.0
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,wiki_A,native,offline_opt_tax,29238187.63,0.81464,,,,,,,,,,,always_compile_evict,1.0
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=3,quick,0.1,0.4,0.3,1.0,0.0,1.0,3.0,sepsis,autorpa_233k,always_reactive,77101119.0,0.976398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,always_reactive,0.655135
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=3,quick,0.1,0.4,0.3,1.0,0.0,1.0,3.0,sepsis,autorpa_233k,always_compile_evict,117687347.667,1.490377,11.333,11.333,75.667,7.667,0.0,36.667,72.667,0.007,56.0,39144000.0,always_reactive,0.655135
