config,p,q0,lifetime,stream,price,policy,mean_tokens,rel_to_ours_evict,mean_final_library,mean_max_library,mean_n_compiles,mean_wasted_compiles,mean_wasted_compiles_tax,mean_wasted_tax_tokens,mean_tax_share,cheapest_policy
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,native,always_reactive,7373315056.0,1.030431,0.0,0.0,0.0,0.0,0.0,0.0,0.004991,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,native,always_compile_evict,6376432498.1,0.891116,38.1,53.8,6663.4,6000.8,6021.4,1397578.0,0.046464,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,native,always_compile_evict_abandon,7118616856.8,0.994837,11.1,20.3,3661.0,3306.0,3319.8,912484.3,0.016805,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,native,on_second,9226112968.1,1.289362,662.6,662.6,6663.4,6000.8,6611.7,2835674869.3,0.34095,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,native,ours_evict,7155561854.5,1.0,8.6,16.8,2650.7,2389.7,2401.4,792364.3,0.014281,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,native,oracle_tax,6774386448.3,0.94673,60.7,60.7,596.7,536.0,536.0,0.0,0.04873,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,native,offline_taxblind,5701564975.73,0.796802,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,wiki_B,native,offline_opt_tax,5889816932.137,0.82311,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,autorpa_233k,always_reactive,19497801224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004751,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,autorpa_233k,always_compile_evict,10634482616.2,0.54542,144.8,224.5,8600.1,8011.8,8436.1,2718653055.3,0.365,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,autorpa_233k,always_compile_evict_abandon,18027996487.4,0.924617,50.9,83.7,4175.4,3940.4,4118.0,1110421858.0,0.083483,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,autorpa_233k,on_second,17446523743.0,0.894794,866.8,866.8,8600.1,8011.8,8511.7,9544732388.1,0.612885,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,autorpa_233k,ours_evict,19497801224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004751,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,autorpa_233k,oracle_tax,7144703145.8,0.366436,83.2,83.2,831.1,747.9,747.9,0.0,0.16077,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,autorpa_233k,offline_taxblind,5532786298.811,0.283765,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,autorpa_233k,offline_opt_tax,6703376288.114,0.343802,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,native,always_reactive,19497801224.0,1.05034,0.0,0.0,0.0,0.0,0.0,0.0,0.004751,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,native,always_compile_evict,5709019807.0,0.307543,34.7,60.9,8600.1,7733.3,7741.0,398398.0,0.146212,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,native,always_compile_evict_abandon,15930006497.0,0.858144,10.2,20.5,4175.4,3751.3,3756.2,244207.6,0.018815,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,native,on_second,15567823297.9,0.838633,866.8,866.8,8600.1,7733.3,8508.9,9539372433.5,0.686842,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,native,ours_evict,18563324011.3,1.0,1.2,5.6,1099.0,989.5,989.5,0.0,0.006579,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,native,oracle_tax,6956917144.1,0.374767,102.7,102.7,1023.0,920.3,920.3,0.0,0.173623,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,native,offline_taxblind,4421960685.981,0.23821,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,bpi2019,native,offline_opt_tax,4941709100.369,0.266208,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,autorpa_233k,always_reactive,77101119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005012,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,autorpa_233k,always_compile_evict,95297247.5,1.236003,7.4,7.4,91.7,88.1,88.2,114532.6,0.007155,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,autorpa_233k,always_compile_evict_abandon,87553371.7,1.135566,4.4,4.4,51.5,50.1,50.1,102575.2,0.006637,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,autorpa_233k,on_second,95314765.0,1.236231,7.8,7.8,91.7,88.1,88.2,129902.5,0.007335,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,autorpa_233k,ours_evict,77101119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005012,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,autorpa_233k,oracle_tax,77101119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005012,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,autorpa_233k,offline_taxblind,77101119.0,1.0,,,,,,,,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,autorpa_233k,offline_opt_tax,77101119.0,1.0,,,,,,,,always_reactive
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,native,always_reactive,77101119.0,1.006655,0.0,0.0,0.0,0.0,0.0,0.0,0.005012,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,native,always_compile_evict,75237463.0,0.982323,6.3,7.1,91.7,83.9,83.9,0.0,0.008652,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,native,always_compile_evict_abandon,76279266.8,0.995925,3.5,4.2,51.5,46.7,46.7,0.0,0.0073,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,native,on_second,75282808.3,0.982915,7.8,7.8,91.7,83.9,84.2,16543.8,0.009249,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,native,ours_evict,76591402.4,1.0,0.4,0.7,9.0,8.3,8.3,0.0,0.005552,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,native,oracle_tax,74990338.7,0.979096,4.2,4.2,54.6,50.4,50.4,0.0,0.007702,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,native,offline_taxblind,69210278.16,0.90363,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,sepsis,native,offline_opt_tax,70786040.556,0.924203,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,autorpa_233k,always_reactive,5261420180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004586,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,autorpa_233k,always_compile_evict,1747824682.8,0.332196,43.9,64.4,1517.4,1403.5,1450.1,123799339.3,0.12251,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,autorpa_233k,always_compile_evict_abandon,4676628844.5,0.888853,17.6,28.4,701.2,658.1,679.2,57586265.1,0.02224,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,autorpa_233k,on_second,2076834882.5,0.394729,153.5,153.5,1517.4,1403.5,1475.8,345282492.1,0.261489,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,autorpa_233k,ours_evict,5261420180.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004586,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,autorpa_233k,oracle_tax,1557786002.3,0.296077,32.6,32.6,313.4,280.8,280.8,0.0,0.108379,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,autorpa_233k,offline_taxblind,1348447901.08,0.25629,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,autorpa_233k,offline_opt_tax,1406397272.793,0.267304,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,native,always_reactive,5261420180.0,1.03183,0.0,0.0,0.0,0.0,0.0,0.0,0.004586,always_compile_evict
p=0.1/q0=0.17/life=3,0.1,0.17,3,wiki_A,native,always_compile_evict,1280578302.2,0.251137,6.0,29.7,1517.4,1363.9,1366.3,124979.4,0.061123,always_compile_evict
