config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive,model
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_cap_epoch,165015211.177,1.0,6.0,7.0,7.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_cap_realized,165015211.177,1.0,6.0,7.0,7.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_pi_prior,165246059.91,1.001399,5.0,5.0,5.0,0.0,0.0,0.0,2.0,0.004,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,breakeven,178140756.636,1.079541,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.003,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,breakeven_cap_epoch,178140756.636,1.079541,2.0,3.0,5.0,0.0,0.0,0.0,1.0,0.003,0.0,0.0,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,offline_taxblind,141080643.658,0.854955,,,,,,,,,,,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,offline_opt_tax,147617835.779,0.894571,,,,,,,,,,,ours_noinflate,0.980877,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,always_reactive,187135368.565,1.133238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,always_compile_evict,168747395.652,1.021886,20.0,20.0,27.0,0.0,0.0,0.0,19.0,0.008,0.0,0.0,ours_noinflate,0.978583,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_noinflate,165133270.299,1.0,7.0,8.0,8.0,0.0,0.0,0.0,4.0,0.004,0.0,0.0,ours_noinflate,0.978583,android_ds
