config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive,model
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_cap_epoch,209827526.401,1.0,8.0,9.0,11.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_cap_realized,209827526.401,1.0,8.0,9.0,11.0,0.0,0.0,0.0,3.0,0.004,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,ours_pi_prior,209456289.84,0.998231,7.0,8.0,9.0,0.0,0.0,0.0,1.0,0.004,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,breakeven,221421983.676,1.055257,5.0,7.0,10.0,0.0,0.0,0.0,2.0,0.003,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,breakeven_cap_epoch,221421983.676,1.055257,5.0,7.0,10.0,0.0,0.0,0.0,2.0,0.003,0.0,0.0,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,offline_taxblind,200880332.953,0.957359,,,,,,,,,,,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,sepsis,native,offline_opt_tax,202302077.731,0.964135,,,,,,,,,,,ours_pi_prior,0.987154,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,always_reactive,18647813056.494,2.308023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,always_compile_evict,8058906808.209,0.997443,10.0,46.0,315.0,0.0,0.0,0.0,140.0,0.014,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_noinflate,8079562772.649,1.0,10.0,43.0,214.0,0.0,0.0,0.0,60.0,0.013,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,oracle_tax,8342098062.767,1.032494,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.036,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_spend_cap,8079562772.649,1.0,10.0,43.0,214.0,0.0,0.0,0.0,60.0,0.013,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_cap_epoch,8079562772.649,1.0,10.0,43.0,214.0,0.0,0.0,0.0,60.0,0.013,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_cap_realized,8079562772.649,1.0,10.0,43.0,214.0,0.0,0.0,0.0,60.0,0.013,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,ours_pi_prior,8151614632.026,1.008918,9.0,43.0,203.0,0.0,0.0,0.0,61.0,0.013,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,breakeven,16412121693.261,2.031313,1.0,8.0,174.0,0.0,0.0,0.0,60.0,0.002,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,breakeven_cap_epoch,16412121693.261,2.031313,1.0,8.0,174.0,0.0,0.0,0.0,60.0,0.002,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,offline_taxblind,7831692854.901,0.969321,,,,,,,,,,,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,autorpa_233k,offline_opt_tax,7901002379.18,0.9779,,,,,,,,,,,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,always_reactive,18647813056.494,2.27577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,always_compile_evict,8156056046.675,0.995361,17.0,56.0,315.0,0.0,0.0,0.0,139.0,0.018,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_noinflate,8194067881.92,1.0,16.0,46.0,211.0,0.0,0.0,0.0,63.0,0.015,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,oracle_tax,8361478277.786,1.020431,62.0,62.0,62.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_spend_cap,8194067881.92,1.0,16.0,46.0,211.0,0.0,0.0,0.0,63.0,0.015,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_cap_epoch,8194067881.92,1.0,16.0,46.0,211.0,0.0,0.0,0.0,63.0,0.015,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_cap_realized,8194067881.92,1.0,16.0,46.0,211.0,0.0,0.0,0.0,63.0,0.015,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,ours_pi_prior,8207617546.582,1.001654,16.0,46.0,201.0,0.0,0.0,0.0,59.0,0.015,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,breakeven,16484122034.541,2.011714,0.0,8.0,170.0,0.0,0.0,0.0,62.0,0.002,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,breakeven_cap_epoch,16484122034.541,2.011714,0.0,8.0,170.0,0.0,0.0,0.0,62.0,0.002,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,offline_taxblind,7908514039.121,0.965151,,,,,,,,,,,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_A,native,offline_opt_tax,8012470272.421,0.977838,,,,,,,,,,,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,always_reactive,20990872303.51,1.158114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,always_compile_evict,18134450220.258,1.000519,68.0,88.0,1734.0,0.0,0.0,0.0,902.0,0.03,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_noinflate,18125049950.867,1.0,66.0,83.0,1191.0,0.0,0.0,0.0,471.0,0.027,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,oracle_tax,18980453198.695,1.047195,165.0,165.0,165.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_spend_cap,18125049950.867,1.0,66.0,83.0,1191.0,0.0,0.0,0.0,471.0,0.027,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_cap_epoch,18125049950.867,1.0,66.0,83.0,1191.0,0.0,0.0,0.0,471.0,0.027,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_cap_realized,18125049950.867,1.0,66.0,83.0,1191.0,0.0,0.0,0.0,471.0,0.027,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,ours_pi_prior,18155235833.699,1.001665,63.0,81.0,1104.0,0.0,0.0,0.0,430.0,0.026,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,breakeven,20795362500.666,1.147327,3.0,19.0,871.0,0.0,0.0,0.0,477.0,0.004,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,breakeven_cap_epoch,20795362500.666,1.147327,3.0,19.0,871.0,0.0,0.0,0.0,477.0,0.004,0.0,0.0,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,offline_taxblind,16377489438.614,0.903583,,,,,,,,,,,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,autorpa_233k,offline_opt_tax,16644297654.563,0.918304,,,,,,,,,,,ours_noinflate,0.999482,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,always_reactive,20990872303.51,1.12585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.996513,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,always_compile_evict,18709691413.658,1.003499,110.0,122.0,1734.0,0.0,0.0,0.0,987.0,0.042,0.0,0.0,ours_noinflate,0.996513,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,ours_noinflate,18644458094.075,1.0,99.0,110.0,1141.0,0.0,0.0,0.0,494.0,0.034,0.0,0.0,ours_noinflate,0.996513,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,oracle_tax,19023490234.317,1.020329,127.0,127.0,127.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,ours_noinflate,0.996513,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,ours_spend_cap,18644458094.075,1.0,99.0,110.0,1141.0,0.0,0.0,0.0,494.0,0.034,0.0,0.0,ours_noinflate,0.996513,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,ours_cap_epoch,18644458094.075,1.0,99.0,110.0,1141.0,0.0,0.0,0.0,494.0,0.034,0.0,0.0,ours_noinflate,0.996513,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,ours_cap_realized,18644458094.075,1.0,99.0,110.0,1141.0,0.0,0.0,0.0,494.0,0.034,0.0,0.0,ours_noinflate,0.996513,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,ours_pi_prior,18658030946.993,1.000728,98.0,105.0,1094.0,0.0,0.0,0.0,472.0,0.033,0.0,0.0,ours_noinflate,0.996513,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,wiki_B,native,breakeven,20873186881.216,1.119538,5.0,17.0,777.0,0.0,0.0,0.0,409.0,0.004,0.0,0.0,ours_noinflate,0.996513,android_glm
